Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),1548,0,9,13.105499801209115,4.224791191518307,289.07179180532694,5143.49354005168,17.329771880571844,0.0,9,11,12,14,19,28,62,100,210,290,290
POST,POST /action (mission),41,0,18,20.242830250048783,9.44195780903101,98.25049992650747,6988.1463414634145,0.4589926660874971,0.0,18,19,21,22,28,31,98,98,98,98,98
POST,POST /action (propose),8,0,21,29.46222375612706,16.298499889671803,52.99808271229267,6201.25,0.08955954460243847,0.0,26,33,49,49,53,53,53,53,53,53,53
POST,POST /action (speak),98,0,15,18.150671290195717,8.077375125139952,79.54424992203712,5140.285714285715,1.0971044213798713,0.0,15,18,21,22,26,32,57,80,80,80,80
POST,POST /action (vote),96,0,17,20.214190546539612,9.973458014428616,71.89845805987716,5656.729166666667,1.0747145352292615,0.0,17,20,24,25,32,39,47,72,72,72,72
POST,POST /games (创建对局),29,0,25,84.65156453693736,14.320333953946829,207.2263746522367,2260.0344827586205,0.3246533491838394,0.0,25,200,200,200,210,210,210,210,210,210,210
,Aggregated,1820,0,10,15.124830204973017,4.224791191518307,289.07179180532694,5170.652197802197,20.37479639705475,0.0,10,12,15,16,23,33,78,120,210,290,290
