Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),2939,0,31,61.60982623734353,4.227791912853718,29468.062459025532,4823.049676760803,24.59550688446506,0.0,31,38,44,49,73,110,180,240,470,29000,29000
POST,POST /action (mission),42,0,57,60.629463333281734,24.724208749830723,112.01966693624854,6954.642857142857,0.35148393642311415,0.0,59,68,71,72,88,100,110,110,110,110,110
POST,POST /action (propose),9,0,55,64.14573194666042,33.05116668343544,109.80879189446568,4792.888888888889,0.0753179863763816,0.0,55,58,66,100,110,110,110,110,110,110,110
POST,POST /action (speak),97,0,61,72.79846307907984,15.139499679207802,291.85766726732254,5585.762886597938,0.8117605198343351,0.0,61,69,81,85,130,180,270,290,290,290,290
POST,POST /action (vote),90,0,62,73.23763286694884,26.61591675132513,358.44570817425847,6097.277777777777,0.753179863763816,0.0,64,73,78,93,110,140,250,360,360,360,360
POST,POST /games (创建对局),46,13,220,11940.189129551467,33.72141718864441,30360.28220783919,1625.9347826086957,0.3849585970348393,0.10879264698810676,240,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,3223,13,32,231.80160291502764,4.227791912853718,30360.28220783919,4863.649084703692,26.972207787897545,0.10879264698810676,32,41,49,55,82,130,220,290,30000,30000,30000
