Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,connect,2000,0,380,390.09583244150326,42.98178599856328,892.3251390006044,0.0,44.344607118420704,0.0,380,490,550,580,660,730,800,840,890,890,890
WS,recv (广播延迟),325741,0,84,85.7229063764222,1.9681453704833984,326.0049819946289,93.18642418363055,7222.428333680739,0.0,84,110,120,130,140,150,170,180,300,320,330
,Aggregated,327741,0,84,87.58030551821454,1.9681453704833984,892.3251390006044,92.61776524755828,7266.77294079916,0.0,84,110,120,130,140,150,170,200,610,810,890
