Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),1541,0,7,11.009794056758835,3.516457974910736,282.19033405184746,4740.506164828033,17.245713569629988,0.0,7,9,10,11,15,22,56,110,210,280,280
POST,POST /action (mission),50,4,25,29.508770033717155,18.42320803552866,95.64037527889013,5773.08,0.5595624130314727,0.04476499304251781,26,30,33,36,39,47,96,96,96,96,96
POST,POST /action (propose),17,0,28,30.780639554209568,20.33737488090992,47.02137503772974,4851.823529411765,0.19025122043070072,0.0,28,32,33,36,46,47,47,47,47,47,47
POST,POST /action (speak),112,0,26,29.84372984584687,16.154584009200335,69.4265840575099,4973.232142857143,1.2534198051904988,0.0,26,31,34,36,44,54,68,69,69,69,69
POST,POST /action (vote),109,0,28,34.04521705463119,19.141208846122026,158.72970782220364,5423.266055045871,1.2198460604086105,0.0,28,33,38,39,49,68,76,130,160,160,160
POST,POST /games (创建对局),32,0,34,130.45850899652578,18.254625145345926,376.0744156315923,2080.375,0.3581199443401425,0.0,40,99,310,310,370,370,380,380,380,380,380
,Aggregated,1861,4,8,16.224019723348338,3.516457974910736,376.0744156315923,4777.520150456744,20.82691301303141,0.04476499304251781,8,11,16,21,30,40,88,130,370,380,380
