Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),2058,0,14,129.8694315042628,4.171246007899754,29738.42630299623,4766.7827988338195,17.233926955564577,0.0,14,16,18,19,23,27,36,57,30000,30000,30000
POST,POST /action (assassinate),1,1,63.57170800038148,63.57170800038148,63.57170800038148,63.57170800038148,91.0,0.008374114166941,0.008374114166941,64,64,64,64,64,64,64,64,64,64,64
POST,POST /action (mission),23,0,44,46.91166617419145,30.3471639927011,66.2659200024791,5649.869565217391,0.192604625839643,0.0,44,54,57,57,61,66,66,66,66,66,66
POST,POST /action (propose),8,0,64,71.65793362582917,43.80421699897852,101.12572599609848,3846.75,0.066992913335528,0.0,75,81,99,99,100,100,100,100,100,100,100
POST,POST /action (speak),71,0,52,53.34090488666872,16.626832002657466,144.06659099040553,4794.887323943662,0.594562105852811,0.0,52,58,65,66,77,96,110,140,140,140,140
POST,POST /action (vote),62,0,49,59.661019853768764,18.99790500465315,191.92638399545103,4824.129032258064,0.5191950783503421,0.0,50,55,64,65,95,150,160,190,190,190,190
POST,POST /games (创建对局),27,5,30000,35776.00389836907,48.660839995136485,60336.95129400439,1699.8148148148148,0.22610108250740701,0.041870570834705,30000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,2250,6,15,552.1890605638398,4.171246007899754,60336.95129400439,4736.124,18.84175687561725,0.050244685001646,15,18,20,22,34,55,91,30000,60000,60000,60000
