Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),4097,0,10,21.60350637544971,4.257458262145519,1128.522208891809,4588.608982182084,34.26035739023114,0.0,10,12,15,17,29,65,130,180,990,1100,1100
POST,POST /action (mission),51,0,17,20.40692395987172,8.849834091961384,47.618874814361334,6137.35294117647,0.42647747788669477,0.0,17,21,25,28,34,41,43,48,48,48,48
POST,POST /action (propose),15,0,17,18.774347100406885,11.575625278055668,33.75625004991889,4951.533333333334,0.1254345523196161,0.0,17,18,19,30,32,34,34,34,34,34,34
POST,POST /action (speak),132,0,17,22.06530180675062,7.015916984528303,89.51712492853403,4918.348484848485,1.1038240604126217,0.0,17,22,25,28,38,50,64,83,90,90,90
POST,POST /action (vote),124,0,19,25.001562151667333,10.283582843840122,148.62150000408292,5388.241935483871,1.0369256325088265,0.0,19,22,28,31,42,58,74,130,150,150,150
POST,POST /games (创建对局),41,0,99,98.58184952924891,14.162917155772448,186.60483323037624,2256.2926829268295,0.34285444300695067,0.0,99,170,170,180,180,190,190,190,190,190,190
,Aggregated,4460,0,11,22.396099400151137,4.257458262145519,1128.522208891809,4618.089910313902,37.295873556365855,0.0,11,13,16,19,33,68,150,180,990,1100,1100
