Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),1553,0,8,13.518246286833529,4.040208179503679,187.5084168277681,4770.1423052157115,17.417149528394425,0.0,8,10,12,13,19,33,96,120,180,190,190
POST,POST /action (mission),50,0,15,17.628321638330817,8.911082986742258,70.6892921589315,6849.14,0.5607581947325958,0.0,15,17,18,21,25,33,71,71,71,71,71
POST,POST /action (propose),15,0,16,18.219452692816656,11.042832862585783,33.33504218608141,5933.8,0.16822745841977874,0.0,16,18,19,22,31,33,33,33,33,33,33
POST,POST /action (speak),120,0,14,15.369489983034631,8.158042095601559,47.80779220163822,5292.541666666667,1.3458196673582299,0.0,14,17,18,19,23,26,34,34,48,48,48
POST,POST /action (vote),119,0,16,21.031203437126987,9.399082977324724,258.73291678726673,5785.546218487395,1.334604503463578,0.0,16,19,20,22,32,48,58,65,260,260,260
POST,POST /games (创建对局),34,0,21,49.138824770446206,11.652416083961725,182.24629200994968,2257.735294117647,0.38131557241816516,0.0,23,39,97,110,110,120,180,180,180,180,180
,Aggregated,1891,0,9,14.894931996265838,4.040208179503679,258.73291678726673,4886.220518244315,21.207874924786772,0.0,9,12,14,15,22,36,100,120,190,260,260
