Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),3090,0,8,11.927231966629384,3.6883330903947353,174.90029195323586,5009.565048543689,25.89636606833458,0.0,8,10,12,13,18,27,56,89,150,170,170
POST,POST /action (mission),60,0,15,17.935952187205356,8.433209266513586,133.77479184418917,6684.866666666667,0.5028420595793123,0.0,15,16,17,19,26,35,51,130,130,130,130
POST,POST /action (propose),20,0,17,18.40783325023949,10.642542038112879,28.58366584405303,5094.85,0.16761401985977073,0.0,18,20,23,23,28,29,29,29,29,29,29
POST,POST /action (speak),159,0,14,18.514943640069955,7.987583987414837,133.85129207745194,5334.792452830188,1.3325314578851775,0.0,14,18,21,23,32,47,52,57,130,130,130
POST,POST /action (vote),152,0,16,20.837782048865368,9.416208136826754,82.6240829192102,5777.296052631579,1.2738665509342577,0.0,16,21,25,28,33,43,58,67,83,83,83
POST,POST /games (创建对局),66,17,30,9172.250153976634,9.321124758571386,30281.557791866362,1681.0454545454545,0.5531262655372434,0.14247191688080513,32,75,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,3547,17,9,183.19120091507708,3.6883330903947353,30281.557791866362,5023.928672117282,29.72634642213034,0.14247191688080513,9,12,14,15,22,37,68,130,30000,30000,30000
