Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),934,0,12,15.54843150697473,3.0317497439682484,141.66904101148248,4254.323340471092,7.949473694053367,0.0,12,15,18,20,28,33,50,66,140,140,140
POST,POST /action (mission),24,0,32,34.55243927116195,21.057083271443844,66.10508309677243,5465.625,0.20426913132471178,0.0,33,35,42,49,52,56,66,66,66,66,66
POST,POST /action (propose),9,0,42,39.943810138437485,19.69979191198945,53.644499741494656,3952.1111111111113,0.07660092424676693,0.0,42,45,45,47,54,54,54,54,54,54,54
POST,POST /action (speak),58,0,29,35.28509919274727,13.561250176280737,105.0280830822885,4379.9655172413795,0.4936504007013868,0.0,29,33,40,49,63,72,90,110,110,110,110
POST,POST /action (vote),53,0,36,38.44012494005685,19.414832815527916,104.21624965965748,4635.566037735849,0.4510943316754052,0.0,36,44,47,48,52,66,72,100,100,100,100
POST,POST /games (创建对局),32,7,90000,56594.18424732576,20.515500102192163,90588.28341588378,1642.65625,0.2723588417662824,0.059578496636374274,90000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000
,Aggregated,1110,7,14,1649.3772487844096,3.0317497439682484,90588.28341588378,4227.540540540541,9.44744732376792,0.059578496636374274,14,19,24,27,39,54,120,91000,91000,91000,91000
