Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),2362,0,11,21.240838505658907,4.0729171596467495,377.4712923914194,4527.335309060119,34.09403016096778,0.0,11,14,16,18,34,83,170,200,360,380,380
POST,POST /action (mission),49,0,19,21.652202321482555,10.71387529373169,42.85624995827675,6143.551020408163,0.7072851303503055,0.0,19,25,27,30,34,38,43,43,43,43,43
POST,POST /action (propose),14,0,26,43.26977670591857,15.802457928657532,219.39229173585773,5438.785714285715,0.20208146581437297,0.0,28,30,32,49,72,220,220,220,220,220,220
POST,POST /action (speak),102,0,17,23.82740516708616,7.277208846062422,254.75974986329675,4567.823529411765,1.4723078223618604,0.0,17,19,23,27,37,55,72,130,250,250,250
POST,POST /action (vote),89,0,22,25.489331929410778,10.24129195138812,134.5626669935882,5253.988764044944,1.2846607469627997,0.0,22,25,28,30,43,57,67,130,130,130,130
POST,POST /games (创建对局),40,0,120,110.14997701859102,12.567124795168638,206.3510832376778,2256.65,0.5773756166124943,0.0,150,190,190,190,200,210,210,210,210,210,210
,Aggregated,2656,0,11,22.945233541982617,4.0729171596467495,377.4712923914194,4553.664156626506,38.33774094306962,0.0,11,15,18,21,38,92,180,200,360,380,380
