Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),2982,0,20,49.81653229536465,2.954124938696623,29740.519540850073,4439.3789403085175,24.925454750218513,0.0,20,27,32,36,54,84,150,230,450,30000,30000
POST,POST /action (mission),49,5,40,52.222268712915934,22.103582974523306,363.3372918702662,5814.714285714285,0.4095732001209615,0.0417931836858124,40,48,51,57,100,110,360,360,360,360,360
POST,POST /action (propose),18,0,43,56.92621762864292,29.741750098764896,240.13291718438268,4815.833333333333,0.15045546126892462,0.0,45,49,52,57,81,240,240,240,240,240,240
POST,POST /action (speak),117,0,39,50.10471226345015,16.710916999727488,254.78554191067815,4720.495726495727,0.97796049824801,0.0,39,50,57,60,73,170,180,190,250,250,250
POST,POST /action (vote),107,0,42,51.11739998596294,16.118207946419716,152.03320793807507,5334.794392523365,0.8943741308763853,0.0,42,47,64,69,91,120,150,150,150,150,150
POST,POST /games (创建对局),55,15,260,9998.6375302669,24.976166896522045,30262.61533331126,1530.0,0.4597250205439363,0.12537955105743717,260,470,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,3328,20,21,214.36097947326533,2.954124938696623,30262.61533331126,4452.255108173077,27.81754306127673,0.1671727347432496,21,30,36,42,63,100,220,300,30000,30000,30000
