Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/games/history,4140,0,44,50.201121182282876,5.509798997081816,318.53107499773614,45.768115942028984,70.09552048508354,0.0,44,52,59,63,78,92,130,170,280,320,320
GET,/api/v1/games/recent,6143,0,530,518.5453039804667,1.970783996512182,722.4697759957053,481.0,104.00888462315658,0.0,530,560,580,590,620,640,670,690,710,720,720
GET,/api/v1/users/leaderboard,10181,0,540,532.5137005571644,4.54405699565541,750.0661669982946,380.0,172.377414023825,0.0,540,570,590,610,640,660,690,700,730,740,750
,Aggregated,20464,0,520,430.74562301696443,1.970783996512182,750.0661669982946,342.7014757623143,346.48181913206514,0.0,520,550,570,590,620,650,680,690,720,740,750
