Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),2051,0,12,13.413459970361092,4.084051004610956,96.05327000463149,4631.923451974647,17.192571597072135,0.0,12,14,16,17,20,23,29,36,79,96,96
POST,POST /action (mission),64,7,41,46.278785781055376,21.68861600512173,195.35081399953924,5141.71875,0.5364820001036649,0.05867771876133834,42,48,51,52,60,64,160,200,200,200,200
POST,POST /action (propose),24,0,49,49.970550125181035,35.0746340045589,85.00324300257489,5339.375,0.2011807500388743,0.0,50,52,54,57,61,65,85,85,85,85,85
POST,POST /action (speak),138,0,42,44.7313180943045,14.326299002277665,138.73406299535418,4824.797101449275,1.1567893127235274,0.0,42,48,51,53,59,67,92,140,140,140,140
POST,POST /action (vote),133,0,50,62.335561631657484,20.852419998846017,380.08836500375764,5269.278195488721,1.1148766564654284,0.0,50,56,60,65,83,160,250,300,380,380,380
POST,POST /games (创建对局),39,0,45,58.91485366700157,24.082800002361182,116.08895999961533,2075.5897435897436,0.32691871881317075,0.0,45,56,82,110,110,120,120,120,120,120,120
,Aggregated,2449,7,13,19.7767957448918,4.084051004610956,380.08836500375764,4656.95140873826,20.5288190352168,0.05867771876133834,13,17,20,23,42,53,67,110,250,380,380
