Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),22958,5734,100,263.17321067685765,2.8012502007186413,5581.620000302792,1980.658768185382,127.23921465001372,31.779321230210762,100,170,290,420,850,1200,1400,1500,2200,5100,5600
POST,POST /action (mission),46,6,40,295.85673006089485,5.343624856323004,1675.2310409210622,5090.239130434783,0.25494397917504275,0.03325356250109253,40,130,250,670,1100,1500,1700,1700,1700,1700,1700
POST,POST /action (propose),21,2,20,134.89474429349815,9.743459057062864,1373.9890828728676,4058.6666666666665,0.11638746875382386,0.01108452083369751,20,30,40,47,91,940,1400,1400,1400,1400,1400
POST,POST /action (speak),175,4,35,337.6911155320704,10.059583000838757,2103.1530001200736,3577.897142857143,0.9698955729485321,0.02216904166739502,35,270,710,830,1100,1400,1500,1800,2100,2100,2100
POST,POST /action (vote),123,20,26,195.59348743726932,6.107499822974205,1650.523875374347,4009.2520325203254,0.6816980312723969,0.1108452083369751,26,41,74,130,800,1600,1600,1600,1700,1700,1700
POST,POST /games (创建对局),505,2,2900,4351.468729686066,44.62437471374869,13409.383083228022,2249.772277227723,2.7988415105086215,0.01108452083369751,2900,5000,6400,8200,11000,12000,13000,13000,13000,13000,13000
,Aggregated,23828,5768,100,349.967199202477,2.8012502007186413,13409.383083228022,2016.398858485815,132.06098121267215,31.96775808438362,100,180,320,480,910,1300,1700,3800,12000,13000,13000
