Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/games/history,321,279,7800,6876.673006965674,21.32334799534874,30257.935142995848,5.853582554517134,5.484611072089418,4.76699840845155,7800,7800,7800,7800,7800,7800,7800,7900,30000,30000,30000
GET,/api/v1/games/recent,444,358,7800,6565.331268044983,18.512841998017393,30252.034755998466,93.16666666666667,7.586191015600316,6.116793656722778,7800,7800,7800,7800,7800,7800,7900,7900,30000,30000,30000
GET,/api/v1/users/leaderboard,729,619,7800,6712.367240360662,35.25150300265523,30263.225918002718,57.338820301783265,12.455705518857275,10.576243780758098,7800,7800,7800,7800,7800,7800,7800,7900,30000,30000,30000
,Aggregated,1494,1256,7800,6703.972447437008,18.512841998017393,30263.225918002718,56.92436412315931,25.52650760654701,21.460035845932428,7800,7800,7800,7800,7800,7800,7800,7900,30000,30000,30000
