Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,connect,500,0,120,166.76562855801603,13.016605000302661,785.8844540023711,0.0,11.373032042027733,0.0,120,150,160,170,210,710,760,780,790,790,790
WS,recv (广播延迟),89909,0,22,22.17594270630124,0.6048679351806641,68.86792182922363,93.14014169882881,2045.0758757333426,0.0,22,27,31,33,36,40,44,46,59,68,69
,Aggregated,90409,0,22,22.975584809696446,0.6048679351806641,785.8844540023711,92.62503733035427,2056.4489077753706,0.0,22,28,31,33,37,41,45,47,170,760,790
