Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),9531,3148,24,224.98047768885186,0.970667228102684,1482.3958328925073,1491.359773371105,52.78108173962923,17.433096770155576,24,130,330,510,860,1000,1100,1100,1400,1500,1500
POST,POST /action (speak),221,80,150,351.23265969958914,1.1880421079695225,1350.3129999153316,1465.9864253393664,1.2238609867231203,0.4430266015287313,150,540,610,750,1000,1200,1300,1300,1400,1400,1400
POST,POST /games (创建对局),28729,25497,6,156.3408197292743,0.9112912230193615,10243.088209070265,310.05520554143897,159.09639044148653,141.19811573972578,6,13,30,65,300,800,1300,2100,9700,10000,10000
,Aggregated,38481,28725,9,174.46081860264488,0.9112912230193615,10243.088209070265,609.2801382500455,213.10133316783887,159.0742391114101,9,21,66,140,560,930,1200,1600,9400,10000,10000
