Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),4124,0,14,18.551450073795806,2.941708080470562,232.26241720840335,4588.7264791464595,34.522125552022295,0.0,14,17,20,23,32,44,79,110,180,230,230
POST,POST /action (assassinate),1,1,68.13345802947879,68.13345802947879,68.13345802947879,68.13345802947879,91.0,0.008371029474302205,0.008371029474302205,68,68,68,68,68,68,68,68,68,68,68
POST,POST /action (mission),81,6,29,33.067067412452566,14.31124983355403,135.9492908231914,6061.851851851852,0.6780533874184786,0.05022617684581323,29,34,38,42,50,53,73,140,140,140,140
POST,POST /action (propose),21,0,32,34.39282548303405,14.77350015193224,58.44029178842902,4943.666666666667,0.1757916189603463,0.0,32,35,42,44,53,56,58,58,58,58,58
POST,POST /action (speak),176,0,30,34.48441434143619,10.282749775797129,170.23345874622464,5288.829545454545,1.4733011874771882,0.0,30,35,39,42,54,69,90,160,170,170,170
POST,POST /action (vote),166,0,31,36.327512082026665,11.941708624362946,216.17145789787173,5760.253012048192,1.389590892734166,0.0,31,36,40,45,57,68,85,120,220,220,220
POST,POST /games (创建对局),51,0,56,112.99019925040649,15.760999638587236,292.00679203495383,2097.0392156862745,0.4269225031894125,0.0,56,160,200,230,270,270,280,290,290,290,290
,Aggregated,4620,7,15,21.176865681687378,2.941708080470562,292.00679203495383,4656.452597402597,38.67415617127619,0.05859720632011544,15,20,24,27,37,53,93,130,270,290,290
