Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),4111,0,10,20.110497151360338,3.3892090432345867,502.2245002910495,4160.922646558015,34.69839816316213,0.0,10,13,15,17,28,72,150,210,420,500,500
POST,POST /action (mission),40,0,18,24.531571939587593,11.149333324283361,83.82387505844235,6073.925,0.3376151609161968,0.0,18,23,27,33,52,66,84,84,84,84,84
POST,POST /action (propose),9,0,26,27.991925987104576,16.637708991765976,56.00608419626951,5013.111111111111,0.07596341120614429,0.0,26,28,28,29,56,56,56,56,56,56,56
POST,POST /action (speak),81,0,16,19.295096725087475,8.783084340393543,127.18733306974173,4793.074074074074,0.6836707008552986,0.0,16,18,20,21,27,32,43,130,130,130,130
POST,POST /action (vote),69,0,20,30.865910064860962,11.71604124829173,281.0454168356955,5274.246376811594,0.5823861525804396,0.0,20,27,29,31,59,74,80,280,280,280,280
POST,POST /games (创建对局),33,0,270,216.97916179387406,15.760042238980532,410.54129181429744,2258.939393939394,0.27853250775586236,0.0,270,320,350,380,400,410,410,410,410,410,410
,Aggregated,4343,0,11,21.8191128181246,3.3892090432345867,502.2245002910495,4195.3338705963615,36.65656609647607,0.0,11,13,16,18,30,79,180,260,420,500,500
