Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),4151,0,9,13.587441828803675,4.364375025033951,187.24891729652882,4659.656709226692,34.82588065514163,0.0,9,11,13,14,19,29,82,120,160,190,190
POST,POST /action (mission),88,0,16,20.135631689547814,9.049208834767342,94.96379178017378,6956.693181818182,0.738298602180791,0.0,16,19,23,25,31,37,69,95,95,95,95
POST,POST /action (propose),27,0,21,24.43352307158488,12.978500220924616,60.18291600048542,5416.925925925926,0.22652343476001544,0.0,21,23,25,32,40,50,60,60,60,60,60
POST,POST /action (speak),193,0,16,19.936177896461185,8.605166338384151,191.84891693294048,5207.341968911917,1.6192230706919621,0.0,16,20,23,25,32,38,56,130,190,190,190
POST,POST /action (vote),183,0,17,20.837680576623626,9.474167134612799,190.11900015175343,5759.983606557377,1.535325502262327,0.0,17,21,23,24,34,37,49,53,190,190,190
POST,POST /games (创建对局),58,0,30,61.96878164011086,13.179958332329988,164.06199987977743,2257.4310344827586,0.486605896891885,0.0,30,100,130,130,140,140,140,160,160,160,160
,Aggregated,4700,0,10,14.912399778221832,4.364375025033951,191.84891693294048,4742.70340425532,39.43185716192861,0.0,10,12,15,16,23,34,98,130,170,190,190
