Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),22030,5622,110,351.63172804494735,3.6075827665627003,4819.525375030935,2308.7,121.79829306632021,31.082614780701416,110,230,490,640,970,1500,2100,2800,3300,4800,4800
POST,POST /action (assassinate),2,0,35.12104135006666,106.75393720157444,35.12104135006666,178.38683305308223,8164.5,0.01105749369644305,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,POST /action (mission),194,31,31,89.98696781819706,3.7817079573869705,1640.9377502277493,5415.298969072165,1.072576888554976,0.1713911522948673,31,39,47,50,130,510,980,1300,1600,1600,1600
POST,POST /action (propose),44,0,34,111.63960802580483,6.384083069860935,1025.566624943167,5378.431818181818,0.24326486132174713,0.0,35,49,74,88,130,820,1000,1000,1000,1000,1000
POST,POST /action (speak),644,73,46,216.73867978034136,6.123624742031097,3211.6174581460655,3629.2965838509317,3.5605129702546625,0.4035985199201714,46,95,140,250,800,1100,1400,1600,3200,3200,3200
POST,POST /action (vote),386,28,36,88.76336121767605,4.996125120669603,2010.5343339964747,5051.0025906735755,2.1340962834135087,0.15480491175020272,36,47,56,64,110,280,1200,1300,2000,2000,2000
POST,POST /games (创建对局),568,17,2400,3596.2567417546256,14.744915999472141,11395.926541183144,2193.146126760563,3.1403282097898266,0.09398869641976594,2500,4200,5900,7400,9100,10000,11000,11000,11000,11000,11000
,Aggregated,23868,5771,100,418.3654385679424,3.6075827665627003,11395.926541183144,2417.331573655103,131.96012977335138,31.906398061086424,100,230,510,660,1000,1700,2800,3500,11000,11000,11000
