Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /games/{id} (轮询快照),998,0,10,11.324294503179054,4.138423995755147,81.1555859982036,5496.70741482966,8.366580369955155,0.0,10,12,13,14,17,20,26,29,81,81,81
POST,POST /action (mission),68,5,39,49.210533691246596,17.644463005126454,244.89807400095742,6337.985294117647,0.5700676003576659,0.041916735320416613,40,44,47,51,81,140,150,240,240,240,240
POST,POST /action (propose),15,0,42,42.97463786545753,24.53532599611208,61.917571001686156,6809.0,0.12575020596124983,0.0,42,49,53,56,59,62,62,62,62,62,62
POST,POST /action (speak),144,0,36,40.98663974996776,13.925312996434513,234.89313400204992,5283.381944444444,1.2072019772279985,0.0,36,41,45,48,58,74,130,130,230,230,230
POST,POST /action (vote),141,0,41,61.7808334824876,19.65945499978261,346.455179998884,5828.390070921986,1.1820519360357484,0.0,41,49,54,58,140,150,250,270,350,350,350
POST,POST /games (创建对局),34,0,36,37.58227017683299,18.64798300084658,63.702888997795526,2079.4411764705883,0.28503380017883295,0.0,37,39,42,45,53,59,64,64,64,64,64
,Aggregated,1400,5,13,22.273966145855542,4.138423995755147,346.455179998884,5480.102142857143,11.736685889716652,0.041916735320416613,13,18,28,34,44,54,130,150,270,350,350
